最新价,涨跌幅%,代码,名称,最高,最低,开盘,昨收,总市值,流通市值,主力净流入(万),超大单净流入(万),大单净流入(万),中单净流入(万),小单净流入(万),净流入占比%
70.22,9.99,002156,通富微电,70.22,66.18,67.69,63.84,106565655161.0,106555495029.0,124924.63,151246.54,-26321.9,-66186.28,-58738.36,25.05
492.0,7.66,300394,天孚通信,510.99,488.0,501.0,457.0,383347104252.0,382577859792.0,70124.18,52696.19,17427.99,-70097.07,-27.1,7.07
1250.35,4.91,300308,中际旭创,1264.0,1220.0,1220.0,1191.81,1394027957317.0,1387407525365.0,68490.58,32078.52,36412.06,-68458.54,-32.03,6.23
231.01,7.39,002281,光迅科技,231.77,220.02,220.05,215.11,186350165470.0,180178594714.0,63374.52,56589.53,6784.99,-28733.77,-34640.75,12.9
489.5,3.12,603986,兆易创新,493.66,477.0,478.89,474.69,343189649765.0,326910022747.0,56483.01,58601.95,-2118.94,-56492.13,-20.27,9.69
4.81,8.58,000100,TCL科技,4.86,4.66,4.66,4.43,100052148370.0,92025084993.0,55184.26,54519.69,664.57,-31185.84,-23998.42,15.85
76.68,3.62,002475,立讯精密,76.68,74.81,75.0,74.0,558689422353.0,557407961222.0,53804.0,40569.31,13234.69,-28421.67,-25382.33,13.41
91.43,10.0,600487,亨通光电,91.43,88.12,90.0,83.12,225502244058.0,223562910259.0,45834.04,77362.08,-31528.04,-34016.84,-11816.29,9.0
784.58,5.03,300502,新易盛,787.73,758.07,760.0,747.0,781361364115.0,696141932133.0,45365.7,39656.55,5709.15,-45344.45,-21.25,5.79
59.88,7.29,600549,厦门钨业,59.89,55.58,55.85,55.81,95064639261.0,93049446962.0,43664.1,25957.99,17706.11,-22640.5,-21024.2,20.07
227.0,7.62,002384,东山精密,227.0,219.0,219.6,210.93,415774909764.0,314695031121.0,34332.69,12727.61,21605.08,-25239.17,-9093.51,4.93
5.68,3.84,000725,京东方Ａ,5.76,5.54,5.58,5.47,210411783404.0,206420649771.0,30577.77,-5179.13,35756.9,1563.76,-32141.53,5.83
13.17,10.03,002171,楚江新材,13.17,12.13,12.13,11.97,21374091774.0,21252975160.0,28753.3,24844.39,3908.91,-10331.25,-18422.04,27.18
43.62,10.01,601231,环旭电子,43.62,41.38,41.4,39.65,104212763502.0,104212763502.0,26705.27,35284.89,-8579.62,-16974.75,-9730.52,29.32
158.58,6.25,000988,华工科技,158.58,153.0,153.98,149.25,159452619276.0,159370625487.0,25796.46,15575.18,10221.28,-13698.73,-12097.73,6.92
6.35,10.05,600310,广西能源,6.35,5.98,5.98,5.77,9307263085.0,9307263085.0,22150.62,23289.74,-1139.12,-9914.95,-12235.48,38.18
55.07,7.24,601208,东材科技,56.1,52.0,52.0,51.35,55630774671.0,55630774671.0,21341.59,18004.69,3336.9,-11106.04,-10235.01,13.53
29.01,2.84,000938,紫光股份,29.35,28.67,28.67,28.21,82970917145.0,82970708273.0,19787.57,17819.69,1967.89,-9736.04,-10051.53,12.65
253.44,6.94,688008,澜起科技,258.0,245.11,248.25,237.0,309754373322.0,290550337482.0,19178.04,17471.58,1706.46,-18122.14,-1071.04,2.9
37.25,2.62,000063,中兴通讯,37.68,36.78,36.8,36.3,178186674541.0,150028890892.0,18601.47,12916.73,5684.73,-9594.75,-9006.72,8.34
80.61,6.98,600584,长电科技,81.2,76.23,76.23,75.35,144244708488.0,144244708488.0,18348.89,-9601.65,27950.54,-2624.75,-15721.72,2.62
5.07,9.98,600666,奥瑞德,5.07,4.9,4.9,4.61,13949838288.0,12686425073.0,18093.89,19988.91,-1895.01,-8300.64,-9793.2,57.59
247.0,5.29,300548,长芯博创,248.18,238.18,243.48,234.6,72779693116.0,67273445616.0,17350.59,10831.45,6519.14,-3711.0,-13639.59,11.22
361.01,3.42,300476,胜宏科技,362.0,347.88,349.08,349.08,354795145341.0,312344027094.0,17224.34,713.86,16510.48,-2588.04,-14636.3,4.69
75.61,6.22,001280,中国铀业,75.93,72.08,72.34,71.18,156375227259.0,13135519112.0,16744.6,7964.79,8779.81,-5523.2,-11221.4,25.59
47.38,10.01,603938,三孚股份,47.38,43.55,43.67,43.07,18128748668.0,18128748668.0,16367.08,14692.66,1674.42,-7259.58,-9107.5,25.06
19.6,7.4,001896,豫能控股,19.6,18.03,18.2,18.25,29905314068.0,29905314068.0,16163.73,13801.7,2362.03,-5508.94,-10654.79,9.43
16.04,5.8,600703,三安光电,16.24,15.43,15.43,15.16,80023860381.0,80023860381.0,15442.92,10109.2,5333.72,-5939.65,-9505.83,11.08
